例词id,例词,读音,用法id,词性,词义,例句id,例句,出处,释义,合集
gzss19,负,,7,动词,依仗，凭仗,1,夹岸高山，皆生寒树，负势竞上，互相轩邈,《与朱元思书》,夹江两岸的高山上，都生长着使人看了有寒意的树，（这些树）凭借着高峻的形势争着向上，彼此往高处和远处伸展,高考实词合集
gzss20,赋,,1,动词,本义，征收,1,岁赋其二，募有能捕之者，当其租入,《捕蛇者说》,每年征收两次，招募能捕捉这种蛇的人，用蛇来抵他们的赋税,高考实词合集
gzss20,赋,,2,动词,写，创作,1,为赋新词强说（自己）愁,《书博山道中壁》,为了写出新词，勉强说（自己）愁,高考实词合集
gzss20,赋,,3,动词,陈述，表达,1,，纵豆蔻词工，青楼梦好，难赋深情,《扬州慢》,即使像（杜牧的诗文）那样精湛深厚、文字功底好，青楼美梦的诗意很好，也很难表达出深厚的感情,高考实词合集
gzss20,赋,,4,名词,田赋，赋税,1,未若复吾赋不幸之甚也,《捕蛇者说》,不如恢复我赋税（所遭受的）不幸那么厉害呢,高考实词合集
gzss20,赋,,5,名词,一种文体,1,刻唐贤今人诗赋于其上,《岳阳楼记》,在它上面雕刻唐代名人和今人的诗赋,高考实词合集
gzss20,赋,,6,名词,《诗经》的“六义”之一，即铺陈记叙,1,一曰风，二曰赋，三曰比，四曰兴，五曰雅，六曰颂,《诗·大序》,一是风，二是赋，三是比，四是兴，五是雅，六是颂,高考实词合集
gzss21,更,,1,动词,改变，更换,1,余将告于莅事者，更若役，复若赋，则何如？,《捕蛇者说》,我将要告诉地方官，（让他）更换你的差事，恢复你的赋税，怎么样？,高考实词合集
gzss21,更,,2,动词,经过，经历,1,因欲通使，道必更匈奴中,《史记·大宛列传》,因为想要排遣使者，道路必须经过匈奴中,高考实词合集
gzss21,更,,3,副词,轮换，交替,1,母孙二人，更相为命,《陈情表》,祖孙二人，互相依靠而维持生命,高考实词合集
gzss21,更,,4,量词,古时夜间计时单位,1,仰头相向鸣，夜夜达五更,《古诗为焦仲卿妻作》,抬起头相互鸣叫，每天晚上都叫到五更天,高考实词合集
gzss21,更,,5,副词,再，复，又,1,欲穷千里目，更上一层楼。,《登鹳雀楼》,要看到更广阔更远的风景，就要再往高处攀登,高考实词合集
gzss21,更,,6,副词,更加，愈加，越发,1,加以官贪吏虐，民日贴妇卖儿，更无休止,《促织》,加上官吏贪婪暴虐，百姓一年到头抵押妻子卖掉孩子，越发没完没了,高考实词合集
gzss22,故,,1,名词,原因，缘故,1,见两小儿辩斗，问其故,《两小儿辩日》,（孔子）看见两个小孩在争辩，便问他们争辩的原因,高考实词合集
gzss22,故,,2,名词,事，事故，变故,1,父母俱存，兄弟无故,《孟子·尽心上》,父母都健在，兄弟没有事（做）,高考实词合集
gzss22,故,,3,名词,老朋友，引申为交情,1,君安与项伯有故？,《鸿门宴》,你怎么与项伯有交情？,高考实词合集
gzss22,故,,4,名词,原来的、旧的事物,1,温故而知新，可以为师矣,《论语·为政》,温习原来旧的知识才能有新的体会，就可以当老师了,高考实词合集
gzss22,故,,5,形容词,旧的，原来的,1,凡在故老，犹蒙矜育,《陈情表》,大凡年老有功德的旧臣，尚且蒙受到怜悯和抚育,高考实词合集
gzss22,故,,6,副词,故意，特意,1,广故数言欲亡，仇恚尉，令辱之,《陈涉世家》,吴广故意多次说想要逃跑，惹军官恼怒，让（军官）责辱自己,高考实词合集
gzss22,故,,7,副词,原先，本来,1,此物故非西产,《捕蛇者说》,这个东西原来不是在陕西出产的,高考实词合集
gzss22,故,,8,连词,所以，因此,1,彼竭我盈，故克之,《曹刿论战》,敌方的士气已消失，我方士气正旺盛，所以打败了他们,高考实词合集
gzss22,故,,9,动词,衰老,1,弟走从军阿姨死，暮去朝来颜色故,《琵琶行（并序）》,弟弟去参军老鸨也死了，时间一天天过去（我的）容貌衰老了,高考实词合集
gzss23,顾,,1,动词,回头看，回头,1,此三者皆欲务得其前利，而不顾其后之有患也,《螳螂捕蝉》,这三个东西都极力想要得到它们眼前的利益，却没有考虑到它们身后有隐患,高考实词合集
gzss23,顾,,2,动词,看，视,1,徘徊四顾，见虫伏壁上,《促织》,（成名）东张西望，四处看看，看见蟋蟀趴（在）墙壁上,高考实词合集
gzss23,顾,,3,动词,探望，拜访,1,三顾臣于草庐之中,《出师表》,（先帝）三次到草庐里来看望我,高考实词合集
gzss23,顾,,4,动词,照顾，关心,1,三岁贯女，莫我肯顾,《硕鼠》,（我）多年辛勤伺候你，（你却）不肯照顾我,高考实词合集
gzss23,顾,,5,动词,考虑，顾及,1,大行不顾细谨，大礼不辞小让,《鸿门宴》,做大事不必顾及小节，讲大礼不必计较小的谦让,高考实词合集
gzss23,顾,,6,副词,但，只是,1,顾念蓄劣物终无所用，不如拼搏一笑,《促织》,（我）只想养着这样低劣的东西，终究没有什么用处，不如让它斗一斗，博得一笑了事,高考实词合集
gzss23,顾,,7,副词,反而，却,1,人之立志，顾不如蜀鄙之僧哉,《为学》,一个人立志求学，反而不如四川边境的那个穷和尚吗,高考实词合集
gzss24,观,,1,动词,本义，仔细看,1,启窗而观，雕栏相望焉,《核舟记》,打开窗子看，可见雕花的船栏杆,高考实词合集
gzss24,观,,2,动词,观察，审察,1,故为之说，以俟夫观人风者得焉,《捕蛇者说》,（我）所以写下这篇文章，用来期待那些朝廷派来考察民情的人从这里得到一点百姓的实情,高考实词合集
gzss24,观,,3,动词,玩赏，观赏,1,予观夫巴陵胜状，在洞庭一湖,《岳阳楼记》,我欣赏巴陵郡优美的风景，集中在洞庭湖上,高考实词合集
gzss24,观,,4,动词,阅读，观看,1,因得观所谓石钟者,《石钟山记》,（我）趁机能够观看所说的“石钟山”,高考实词合集
gzss24,观,,5,名词,景象，情景,1,此则岳阳楼之大观也,《岳阳楼记》,这就是岳阳楼的雄伟景象,高考实词合集
gzss24,观,,6,名词,宫殿中的楼台,1,大王见臣列观,《廉颇蔺相如列传》,大王却（在）宫殿中的楼台接见我,高考实词合集
gzss25,归,,1,动词,回，返回,1,太守归而宾客从也,《醉翁亭记》,太守回来而其他宾客跟从他,高考实词合集
gzss25,归,,2,动词,归还，送回,1,知幸与不幸，则其读书也必专，而其归书也必速,《黄生借书说》,懂得借到书的幸运与借不到书的不幸，那么他读书必定会专心，而他归还书必定会迅速了,高考实词合集
gzss25,归,,3,动词,归属，归依,1,微斯人，吾谁与归？,《岳阳楼记》,没有这种人，我同谁一道呢？,高考实词合集
gzss25,归,,4,动词,本义，女子出嫁,1,后五年，吾妻来归,《项脊轩志》,过了五年，我的妻子嫁到我家,高考实词合集
gzss25,归,,5,动词,使……回去,1,卒廷见相如，毕礼而归之,《廉颇蔺相如列传》,（秦王）终于在朝堂上接见蔺相如，举行完廷见的外交大礼，然后让他回去,高考实词合集
gzss25,归,,6,动词,归聚，汇聚,1,万川归之，不知何时止而不盈,《庄子》,所有的河流都归聚大海，不知何时停止但大海不会满,高考实词合集
gzss25,归,,7,名词,结局，归宿,1,天下同归而殊涂（途）,《易》,天下所有的事物一同到达同一个目的地，通过不同的途径。,高考实词合集
